1, 0.233175
2, 0.240605
3, 0.241579
4, 0.283097
1, 0.233751
2, 0.239300
3, 0.242812
4, 0.284624
1, 0.233176
2, 0.238971
3, 0.239152
4, 0.283812
1, 0.233020
2, 0.238573
3, 0.190223
4, 0.285075
1, 0.233194
2, 0.239095
3, 0.240943
4, 0.282272
1, 0.173511
2, 0.239245
3, 0.243433
4, 0.285007
1, 0.232950
2, 0.238965
3, 0.241058
4, 0.289783
1, 0.241118
2, 0.236531
3, 0.236196
4, 0.265145
1, 0.230953
2, 0.104430
3, 0.236324
4, 0.279602
1, 0.105980
2, 0.233875
3, 0.235519
4, 0.125476
1, 0.232943
2, 0.239311
3, 0.243810
4, 0.285552
1, 0.237755
2, 0.238853
3, 0.239453
4, 0.288451
1, 0.233102
2, 0.233810
3, 0.105928
4, 0.280281
1, 0.229108
2, 0.221606
3, 0.236067
4, 0.277991
1, 0.220946
2, 0.233734
3, 0.209356
4, 0.280022
1, 0.102858
2, 0.234057
3, 0.234815
4, 0.134458
1, 0.229228
2, 0.233946
3, 0.105637
4, 0.279380
1, 0.229369
2, 0.231691
3, 0.235774
4, 0.287018
1, 0.102077
2, 0.233613
3, 0.235957
4, 0.125947
1, 0.229064
2, 0.218710
3, 0.235683
4, 0.279685
1, 0.202552
2, 0.239525
3, 0.242474
4, 0.285348
1, 0.233750
2, 0.239278
3, 0.124224
4, 0.283843
1, 0.233920
2, 0.240055
3, 0.243125
4, 0.283626
1, 0.210064
2, 0.238803
3, 0.244083
4, 0.283576
1, 0.233425
2, 0.239196
3, 0.118828
4, 0.284320
1, 0.233375
2, 0.238823
3, 0.241347
4, 0.284742
1, 0.233298
2, 0.237133
3, 0.243502
4, 0.289358
1, 0.236009
2, 0.233857
3, 0.192744
4, 0.278528
1, 0.228984
2, 0.104704
3, 0.236693
4, 0.279128
1, 0.106127
2, 0.238717
3, 0.235422
4, 0.281557
